[I 240930 11:08:19 webSocket:62] on open
[I 240930 11:08:25 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6615573, 'exchange_timestamp': 1727674691000, 'last_traded_price': 5331010, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:25 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6615700, 'exchange_timestamp': 1727674692000, 'last_traded_price': 2594605, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:25 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6615905, 'exchange_timestamp': 1727674692000, 'last_traded_price': 5330995, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:26 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6616350, 'exchange_timestamp': 1727674692000, 'last_traded_price': 5330925, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:26 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6616468, 'exchange_timestamp': 1727674693000, 'last_traded_price': 2594590, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:26 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6616654, 'exchange_timestamp': 1727674693000, 'last_traded_price': 5330800, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:26 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6616794, 'exchange_timestamp': 1727674693000, 'last_traded_price': 2594585, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:27 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6617121, 'exchange_timestamp': 1727674693000, 'last_traded_price': 5330670, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:27 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6617216, 'exchange_timestamp': 1727674694000, 'last_traded_price': 2594535, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:27 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6617422, 'exchange_timestamp': 1727674694000, 'last_traded_price': 5330770, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:27 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6617553, 'exchange_timestamp': 1727674694000, 'last_traded_price': 2594505, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:28 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6617851, 'exchange_timestamp': 1727674694000, 'last_traded_price': 5330625, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:28 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6617950, 'exchange_timestamp': 1727674695000, 'last_traded_price': 2594475, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:28 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 6618164, 'exchange_timestamp': 1727674695000, 'last_traded_price': 5330865, 'subscription_mode_val': 'LTP'}
[I 240930 11:08:28 webSocket:59] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 6618297, 'exchange_timestamp': 1727674695000, 'last_traded_price': 2594580, 'subscription_mode_val': 'LTP'}
