[I 241003 09:20:37 webSocket:62] WebSocket connection opened
[I 241003 09:24:05 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1281246, 'exchange_timestamp': 1727927632000, 'last_traded_price': 5244950, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:06 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1281666, 'exchange_timestamp': 1727927633000, 'last_traded_price': 5245915, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:06 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1282233, 'exchange_timestamp': 1727927633000, 'last_traded_price': 5245615, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:07 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1282662, 'exchange_timestamp': 1727927634000, 'last_traded_price': 5246025, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:07 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1283227, 'exchange_timestamp': 1727927634000, 'last_traded_price': 5246285, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:08 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1283652, 'exchange_timestamp': 1727927635000, 'last_traded_price': 5246245, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:08 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1284201, 'exchange_timestamp': 1727927635000, 'last_traded_price': 5246115, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:09 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1284624, 'exchange_timestamp': 1727927636000, 'last_traded_price': 5246195, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:09 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1285190, 'exchange_timestamp': 1727927636000, 'last_traded_price': 5246720, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:10 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1285640, 'exchange_timestamp': 1727927637000, 'last_traded_price': 5245630, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:10 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1286208, 'exchange_timestamp': 1727927637000, 'last_traded_price': 5246280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:11 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1286633, 'exchange_timestamp': 1727927638000, 'last_traded_price': 5246240, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:11 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1287199, 'exchange_timestamp': 1727927638000, 'last_traded_price': 5246220, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:12 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1287635, 'exchange_timestamp': 1727927639000, 'last_traded_price': 5246070, 'subscription_mode_val': 'LTP'}
